Sigla,Nome do evento em inglês,Nome do evento,Estrato
BWAIF,Brazilian Workshop on Artificial Intelligence in Finance,Workshop Brasileiro de Inteligência Artificial em Finanças,B4
CADE,International Conference on Automated Deduction,Conferência Internacional sobre Dedução Automatizada,A3
CAIN,International Conference on AI Engineering – Software Engineering for AI,Conferência Internacional sobre Engenharia de IA – Engenharia de Software para IA,A4
CAIP,International Conference on Computer Analysis of Images and Patterns,Conferência Internacional sobre Análise Computacional de Imagens e Padrões,A3
CAISE,International Conference on Advanced Information Systems Engineering,Conferência Internacional sobre Engenharia Avançada de Sistemas de Informação,A2
CALDAM,International Conference on Algorithms and Discrete Applied Mathematics,Conferência Internacional sobre Algoritmos e Matemática Aplicada Discreta,B2
CANDAR,International Symposium on Computing and Networking,Simpósio Internacional sobre Computação e Redes,B1
CANS,International Conference on Cryptology and Network Security,Conferência Internacional sobre Criptologia e Segurança de Rede,A4
CASCON,Annual International Conference on Computer Science and Software Engineering,Conferência Internacional Anual sobre Ciência da Computação e Engenharia de Software,A3
CASE,IEEE Conference on Automation Science and Engineering,Conferência IEEE sobre Ciência e Engenharia de Automação,A2
CATA,International Conference on Computers and their Applications,Conferência Internacional sobre Computadores e suas Aplicações,B4
CAV,International Conference on Computer Aided Verification,Conferência Internacional sobre Verificação Auxiliada por Computador,A1
CBA,Congresso Brasileiro de Automática,Brazilian Congress of Automation,B3
CBI,IEEE Conference on Business Informatics,Conferência IEEE sobre Informática de Negócios,A3
CBIC,Congresso Brasileiro de Inteligência Computacional,Brazilian Congress on Computational Intelligence,B4
CBIS,Congresso Brasileiro de Informática em Saúde,Brazilian Congress on Health Informatics,B4
CBMI,International Workshop on Content-Based Multimedia Indexing,Workshop Internacional sobre Indexação Multimídia Baseada em Conteúdo,A4
CBMS,International Symposium on Computer-Based Medical Systems,Simpósio Internacional sobre Sistemas Médicos Baseados em Computador,A2
CC,International Conference on Compiler Construction,Conferência Internacional sobre Construção de Compiladores,A3
CCC,IEEE Conference on Computational Complexity,Conferência IEEE sobre Complexidade Computacional,A3
CCCG,Canadian Conference on Computational Geometry,Conferência Canadense de Geometria Computacional,B3
CCECE,Canadian Conference on Electrical and Computer Engineering,Conferência Canadense de Engenharia Elétrica e de Computação,A2
CCGRID,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing","Simpósio Internacional IEEE/ACM sobre Computação em Cluster, Nuvem e Grade",A2
CCNC,Annual IEEE Consumer Communications & Networking Conference,Conferência Anual IEEE de Comunicações e Redes ao Consumidor,A2
CCS,ACM Symposium on Computer and Communications Security,Simpósio ACM sobre Segurança de Computadores e Comunicações,A1
CDC,IEEE Conference on Decision and Control,Conferência IEEE sobre Decisão e Controle,A1
CEC,IEEE Congress on Evolutionary Computation,Congresso IEEE sobre Computação Evolutiva,A1
CF,ACM International Conference on Computing Frontiers,Conferência Internacional ACM sobre Fronteiras da Computação,A3
CGI,Computer Graphics International Conference,Conferência Internacional de Computação Gráfica,B1
CGO,International Symposium on Code Generation and Optimization,Simpósio Internacional sobre Geração de Código e Otimização,A2
CHASE,International Workshop on Cooperative and Human Aspects of Software Engineering,Workshop Internacional sobre Aspectos Cooperativos e Humanos da Engenharia de Software,A4
CHI,ACM Conference on Human Factors in Computing Systems,Conferência ACM sobre Fatores Humanos em Sistemas Computacionais,A1
CHIPlay,ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play,Simpósio Anual ACM SIGCHI sobre Interação Computador-Humano em Jogos,A2
CIAC,International Conference on Algorithms and Complexity,Conferência Internacional sobre Algoritmos e Complexidade,B4
CIARP,Iberoamerican Congress on Pattern Recognition,Congresso Ibero-americano de Reconhecimento de Padrões,A4
CIBCB,IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology,Conferência IEEE sobre Inteligência Computacional em Bioinformática e Biologia Computacional,A3
CIbSE,Conferencia Iberoamericana de Software Engineering,Ibero-American Conference on Software Engineering,B1
CICLING,International Conference on Intelligent Text Processing and Computational Linguistics,Conferência Internacional sobre Processamento Inteligente de Texto e Linguística Computacional,B4
CIDI,Congresso Internacional de Design da Informação,International Congress of Information Design,B4
CIKM,ACM International Conference on Information and Knowledge Management,Conferência Internacional ACM sobre Gestão de Informação e Conhecimento,A1
CILAMCE,Iberian Latin American Congress on Computational Methods,Congresso Ibero-Latino-Americano de Métodos Computacionais,B4
CISTI,Iberian Conference on Information Systems and Technologies,Conferência Ibérica sobre Sistemas e Tecnologias de Informação,A3
CIT,IEEE International Conference on Information Technology,Conferência Internacional IEEE sobre Tecnologia da Informação,A2
CLAIO,Latin-Ibero-American Conference on Operations Research,Conferência Latino-Ibero-Americana de Pesquisa Operacional,B4
CLEF,Conference and Labs of the Evaluation Forum,Conferência e Laboratórios do Fórum de Avaliação,A4
CLEI,Conferencia Latinoamericana de Informática,Latin American Conference on Informatics,B2
CLIHC,Latin American Conference on Human Computer Interaction,Conferência Latino-Americana de Interação Humano-Computador,B3
CLOSER,International Conference on Cloud Computing and Services Science,Conferência Internacional sobre Computação em Nuvem e Ciência de Serviços,A3
CLOUD,IEEE International Conference on Cloud Computing,Conferência Internacional IEEE sobre Computação em Nuvem,A2
CLOUDCOM,IEEE International Conference on Cloud Computing Technology and Science,Conferência Internacional IEEE sobre Tecnologia e Ciência da Computação em Nuvem,B1
CLOUDNET,IEEE International Conference on Cloud Networking,Conferência Internacional IEEE sobre Redes em Nuvem,A4
CLUSTER,IEEE International Conference on Cluster Computing,Conferência Internacional IEEE sobre Computação em Cluster,A3
CMMR,International Symposium on Computer Music Multidisciplinary Research,Simpósio Internacional de Pesquisa Multidisciplinar em Música Computacional,B2
CMN,Congress on Numerical Methods in Engineering,Congresso sobre Métodos Numéricos em Engenharia,B4
CNMAC,Congresso Nacional de Matemática Aplicada e Computacional,National Congress of Applied and Computational Mathematics,B4
CNSM,International Conference on Network and Service Management,Conferência Internacional sobre Gestão de Redes e Serviços,A3
COCOA,International Conference on Combinatorial Optimization and Applications,Conferência Internacional sobre Otimização Combinatória e Aplicações,B2
COCOON,International Computing and Combinatorics Conference,Conferência Internacional de Computação e Combinatória,B2
COG,Conference on Games,Conferência sobre Jogos,A2
COLING,International Conference on Computational Linguistics,Conferência Internacional sobre Linguística Computacional,A1
CoMeSySo,Computational Methods in Systems and Software,Métodos Computacionais em Sistemas e Software,A3
COMPLEXNETWORKS,International Conference on Complex Networks and Their Applications,Conferência Internacional sobre Redes Complexas e suas Aplicações,A4
COMPSAC,IEEE Computer Software and Applications Conference,Conferência IEEE de Software e Aplicações Computacionais,A2
COMSNETS,International Conference on Communication Systems & NetworkS,Conferência Internacional sobre Sistemas de Comunicação e Redes,A2
CONEXT,Conference on Emerging Network Experiment and Technology,Conferência sobre Experimentos e Tecnologias de Rede Emergentes,A1
CoNLL,Conference on Natural Language Learning,Conferência sobre Aprendizado de Linguagem Natural,A1
CONTECSI,International Conference on Information Systems and Technology Management,Conferência Internacional sobre Gestão de Sistemas e Tecnologia da Informação,B4
COOPIS,International Conference on Cooperative Information Systems,Conferência Internacional sobre Sistemas de Informação Cooperativos,B1
COURB,Workshop of Urban Computing,Workshop de Computação Urbana,B4
CPAIOR,"International Conference on Integration of Constraint Programming, Artificial Intelligence, and Operations Research","Conferência Internacional sobre Integração de Programação por Restrições, Inteligência Artificial e Pesquisa Operacional",A4
CRTL+E,Congresso sobre Tecnologias na Educação,Congress on Technologies in Education,B3
CSCW,ACM Conference on Computer Supported Cooperative Work & Social Computing,Conferência ACM sobre Trabalho Cooperativo Suportado por Computador e Computação Social,A3
CSCWD,IEEE International Conference on Computer Supported Cooperative Work in Design,Conferência Internacional IEEE sobre Trabalho Cooperativo Suportado por Computador em Design,A3
CSE,International Conference on Computational Science and Engineering,Conferência Internacional sobre Ciência e Engenharia Computacional,B1
CSEDU,International Conference on Computer Supported Education,Conferência Internacional sobre Educação Suportada por Computador,A3
CSF,IEEE Computer Security Foundations Symposium,Simpósio IEEE de Fundamentos de Segurança Computacional,A3
CSNet,Cyber Security in Networking Conference,Conferência de Cibersegurança em Redes,B1
CSR,IEEE International Conference on Cyber Security and Resilience,Conferência Internacional IEEE sobre Cibersegurança e Resiliência,B1
CVPR,IEEE Conference on Computer Vision and Pattern Recognition,Conferência IEEE sobre Visão Computacional e Reconhecimento de Padrões,A1
CVPR-E,IEEE Conference on Computer Vision and Pattern Recognition Companion,Conferência IEEE sobre Visão Computacional e Reconhecimento de Padrões (Complementar),A3
DAC,Design Automation Conference,Conferência de Automação de Design,A1
DARS,International Symposium on Distributed Autonomous Robotic Systems,Simpósio Internacional sobre Sistemas Robóticos Autônomos Distribuídos,B3
DASFAA,International Conference on Database Systems for Advanced Applications,Conferência Internacional sobre Sistemas de Banco de Dados para Aplicações Avançadas,A3
DATA,"International Conference on Data Science, Technology and Applications","Conferência Internacional sobre Ciência de Dados, Tecnologia e Aplicações",A1
DATE,"Design, Automation and Test in Europe Conference and Exhibition","Conferência e Exposição de Design, Automação e Teste na Europa",A1
DAWAK,International Conference on Big Data Analytics and Knowledge Discovery,Conferência Internacional sobre Análise de Big Data e Descoberta de Conhecimento,B1
DBSEC,IFIP WG 11.3 Conference on Data and Applications Security and Privacy,Conferência IFIP WG 11.3 sobre Segurança e Privacidade de Dados e Aplicações,A4
DCOSS,International Conference on Distributed Computing in Sensor Systems,Conferência Internacional sobre Computação Distribuída em Sistemas de Sensores,A2
DEXA,International Conference on Database and Expert Systems Applications,Conferência Internacional sobre Bancos de Dados e Aplicações de Sistemas Especialistas,A3
DFTVS,IEEE International Symposium on Defect and Fault Tolerance in VLSI Systems,Simpósio Internacional IEEE sobre Tolerância a Defeitos e Falhas em Sistemas VLSI,A3
DGMM,Discrete Geometry and Mathematical Morphology,Geometria Discreta e Morfologia Matemática,A4
DGO,Annual International Conference on Digital Government Research,Conferência Internacional Anual sobre Pesquisa em Governo Digital,A2
DL,International Workshop on Description Logics,Workshop Internacional sobre Lógicas de Descrição,A4
DMSVIVA,International DMS Conference on Visualization and Visual Languages,Conferência Internacional DMS sobre Visualização e Linguagens Visuais,B4
DOCENG,ACM Symposium on Document Engineering,Simpósio ACM sobre Engenharia de Documentos,B1
DRCN,International Conference on the Design of Reliable Communication Networks,Conferência Internacional sobre o Design de Redes de Comunicação Confiáveis,B1
DS-RT,IEEE/ACM International Symposium on Distributed Simulation and Real-Time Applications,Simpósio Internacional IEEE/ACM sobre Simulação Distribuída e Aplicações em Tempo Real,B1
DSAA,IEEE International Conference on Data Science and Advanced Analytics,Conferência Internacional IEEE sobre Ciência de Dados e Análise Avançada,A2
DSAI,International Conference on Software Development for Enhancing Accessibility and Fighting Info-exclusion,Conferência Internacional sobre Desenvolvimento de Software para Melhorar a Acessibilidade e Combater a Info-exclusão,B4
DSD,"Euromicro Conference on Digital System Design, Architectures, Methods and Tools","Conferência Euromicro sobre Design de Sistemas Digitais, Arquiteturas, Métodos e Ferramentas",A3
DSN,Annual IEEE/IFIP International Conference on Dependable Systems and Networks,Conferência Internacional Anual IEEE/IFIP sobre Sistemas e Redes Confiáveis,A1
DSW,Dataset Showcase Workshop,Workshop de Exibição de Conjuntos de Dados,B4
EAAAI,International Conference on Engineering Applications and Advances of Artificial Intelligence,Conferência Internacional sobre Aplicações de Engenharia e Avanços da Inteligência Artificial,A4
EACL,Conference of the European Chapter of the Association for Computational Linguistics,Conferência do Capítulo Europeu da Associação de Linguística Computacional,A1
EAIS,IEEE International Conference on Evolving and Adaptive Intelligent Systems,Conferência Internacional IEEE sobre Sistemas Inteligentes Evolutivos e Adaptativos,B3
EASE,International Conference on Evaluation and Assessment in Software Engineering,Conferência Internacional sobre Avaliação e Estimativa em Engenharia de Software,A2
EATIS,Euro American Conference on Telematics and Information Systems,Conferência Euro-Americana sobre Telemática e Sistemas de Informação,B2
EC-TEL,European Conference on Technology Enhanced Learning,Conferência Europeia sobre Aprendizagem Aprimorada por Tecnologia,A3
ECAI,European Conference on Artificial Intelligence,Conferência Europeia sobre Inteligência Artificial,A1
ECC,European Control Conference,Conferência Europeia de Controle,A2
ECCV,European Conference on Computer Vision,Conferência Europeia sobre Visão Computacional,A1
ECIS,European Conference on Information Systems,Conferência Europeia sobre Sistemas de Informação,A1
ECML,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,Conferência Europeia sobre Aprendizado de Máquina e Princípios e Prática de Descoberta de Conhecimento em Bancos de Dados,A1
ECMR,European Conference on Mobile Robots,Conferência Europeia sobre Robôs Móveis,A3
ECOOP,European Conference on Object-Oriented Programming,Conferência Europeia sobre Programação Orientada a Objetos,A3
ECSA,European Conference on Software Architecture,Conferência Europeia sobre Arquitetura de Software,A3
ECSCW,European Conference on Computer Supported Cooperative Work,Conferência Europeia sobre Trabalho Cooperativo Suportado por Computador,A4
ECSQARU,European Conference on Symbolic and Quantitative Approaches to Reasoning and Uncertainty,Conferência Europeia sobre Abordagens Simbólicas e Quantitativas para Raciocínio e Incerteza,B1
EDBT,International Conference on Extending Database Technology,Conferência Internacional sobre Extensão da Tecnologia de Banco de Dados,A3
EDCC,European Dependable Computing Conference,Conferência Europeia de Computação Confiável,A4
EDGE,EEE International Conference on Edge Computing and Communications,Conferência Internacional IEEE sobre Computação de Borda e Comunicações,A4
EDM,International Conference on Educational Data Mining,Conferência Internacional sobre Mineração de Dados Educacionais,A2
EDOC,IEEE International Enterprise Distributed Object Computing Conference,Conferência Internacional IEEE sobre Computação de Objetos Distribuídos Empresariais,A3
EDUCOMP,Simpósio Brasileiro de Educação em Computação,Brazilian Symposium on Computing Education,B1
EDUCON,IEEE Global Engineering Education Conference,Conferência IEEE de Educação em Engenharia Global,A2
EDULEARN,International Conference on Education and New Learning Technologies,Conferência Internacional sobre Educação e Novas Tecnologias de Aprendizagem,A3
EGOV,International Conference on Electronic Government,Conferência Internacional sobre Governo Eletrônico,A3
EGOVIS,International Conference on Electronic Government and the Information Systems Perspective,Conferência Internacional sobre Governo Eletrônico e a Perspectiva de Sistemas de Informação,B3
EMAS,International Workshop on Engineering Multiagent Systems,Workshop Internacional sobre Engenharia de Sistemas Multiagentes,B4
EMBC,Annual International Conference of the IEEE Engineering in Medicine and Biology Society,Conferência Internacional Anual da Sociedade de Engenharia em Medicina e Biologia IEEE,A1
EMBS,IEEE-EMBS International Conference on Biomedical and Health Informatics,Conferência Internacional IEEE-EMBS sobre Informática Biomédica e em Saúde,A3
EMO,International Conference on Evolutionary Multi-Criterion Optimization,Conferência Internacional sobre Otimização Evolutiva Multicritério,A4
ENANPAD,Encontro Nacional da Associação Nacional de Pós-Graduação e Pesquisa em Administração,National Meeting of the National Association of Graduate Studies and Research in Administration,B4
ENASE,International Conference on Evaluation of Novel Approaches to Software Engineering,Conferência Internacional sobre Avaliação de Novas Abordagens em Engenharia de Software,A4
ENIAC,Encontro Nacional de Inteligencia Artificial e Computacional,National Meeting on Artificial and Computational Intelligence,A4
EPIA,Portuguese Conference on Artificial Intelligence,Conferência Portuguesa sobre Inteligência Artificial,A4
ER,International Conference on Conceptual Modeling,Conferência Internacional sobre Modelagem Conceitual,A3
ESA,European Symposium on Algorithms,Simpósio Europeu sobre Algoritmos,A2
ESANN,"European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning","Simpósio Europeu sobre Redes Neurais Artificiais, Inteligência Computacional e Aprendizado de Máquina",A4
ESCIENCE,IEEE International Conference on e-Science,Conferência Internacional IEEE sobre e-Ciência,A3
ESEM,ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,Simpósio Internacional ACM/IEEE sobre Engenharia de Software Empírica e Medição,A2
ESMARTA,International Conference on Emerging Smart Technologies and Applications,Conferência Internacional sobre Tecnologias Inteligentes Emergentes e Aplicações,B2
ETC,Encontro de Teoria da Computação,Meeting on Theory of Computation,B4
ETFA,IEEE International Conference on Emerging Technologies and Factory Automation,Conferência Internacional IEEE sobre Tecnologias Emergentes e Automação de Fábrica,A2
ETS,IEEE European Test Symposium,Simpósio Europeu de Testes IEEE,A4
EuCNC,European Conference on Networks and Communications,Conferência Europeia sobre Redes e Comunicações,A3
EURO,European Conference on Operational Research,Conferência Europeia de Pesquisa Operacional,B4
EUROCOMB,"European Conference on Combinatorics, Graph Theory and Applications","Conferência Europeia sobre Combinatória, Teoria dos Grafos e Aplicações",B2
EUROPAR,European Conference on Parallel Computing,Conferência Europeia sobre Computação Paralela,A3
EuroPloP,European Conference on Pattern Languages of Programs,Conferência Europeia sobre Linguagens de Padrões de Programas,B1
EuroSPI,European Conference on Software Process Improvement,Conferência Europeia sobre Melhoria de Processo de Software,A4
EUROSYS,European Conference on Computer Systems,Conferência Europeia sobre Sistemas Computacionais,A1
EUSFLAT,Conference of the European Society for Fuzzy Logic and Technology,Conferência da Sociedade Europeia de Lógica Fuzzy e Tecnologia,B2
EUSIPCO,European Signal Processing Conference,Conferência Europeia de Processamento de Sinais,A1
EUVIP,European Workshop on Visual Information Processing,Workshop Europeu sobre Processamento de Informação Visual,B1
EVOAPPLICATIONS,European Conference on the Applications of Evolutionary Computation,Conferência Europeia sobre Aplicações de Computação Evolutiva,A4
EVOCOP,European Conference on Evolutionary Computation in Combinatorial Optimization,Conferência Europeia sobre Computação Evolutiva em Otimização Combinatória,B3
FACCT,"ACM Conference on Fairness, Accountability, and Transparency","Conferência ACM sobre Justiça, Responsabilidade e Transparência",A1
FACS,International Conference on Formal Aspects of Component Software,Conferência Internacional sobre Aspectos Formais de Software de Componentes,B2
FASE,International Conference on Fundamental Approaches to Software Engineering,Conferência Internacional sobre Abordagens Fundamentais para Engenharia de Software,A3
FAST,USENIX Conference on File and Storage Technologies,Conferência USENIX sobre Tecnologias de Arquivo e Armazenamento,A1
FC,International Conference on Financial Cryptography and Data Security,Conferência Internacional sobre Criptografia Financeira e Segurança de Dados,A1
FCT,International Symposium on Fundamentals of Computation Theory,Simpósio Internacional sobre Teoria Fundamental da Computação,B4
FDG,International Conference on Foundations of Digital Games,Conferência Internacional sobre Fundamentos de Jogos Digitais,A2
FEDCSIS,Federated Conference on Computer Science and Information Systems,Conferência Federada de Ciência da Computação e Sistemas de Informação,A3
FGR,IEEE International Conference on Automatic Face and Gesture Recognition,Conferência Internacional IEEE sobre Reconhecimento Automático de Face e Gestos,A1
FiCloud,International Conference on Future Internet of Things and Cloud,Conferência Internacional sobre Futura Internet das Coisas e Nuvem,B1
FIE,IEEE Frontiers in Education Conference,Conferência IEEE de Fronteiras na Educação,A2
FIT,International Conference on Forntiers of Information Technology,Conferência Internacional sobre Fronteiras da Tecnologia da Informação,B1
FLAIRS,International Florida Artificial Intelligence Conference,Conferência Internacional de Inteligência Artificial da Flórida,A4
FMCAD,International Conference on Formal Methods in Computer-Aided Design,Conferência Internacional sobre Métodos Formais em Design Auxiliado por Computador,A3
FOIS,International Conference on Formal Ontology in Information Systems,Conferência Internacional sobre Ontologia Formal em Sistemas de Informação,B4
FOSSACS,International Conference on Foundations of Software Science and Computation Structures,Conferência Internacional sobre Fundamentos da Ciência de Software e Estruturas de Computação,A4
FSCD,International Conference on Formal Structures for Computation and Deduction,Conferência Internacional sobre Estruturas Formais para Computação e Dedução,A4
FSE/ESEC,Joint Meeting on European Software Engineering Conference and Foundations of Software Engineering,Reunião Conjunta sobre Conferência Europeia de Engenharia de Software e Fundamentos de Engenharia de Software,A1
FSEN,International Conference on Fundamentals of Software Engineering,Conferência Internacional sobre Fundamentos da Engenharia de Software,B3
FTC,Future Technologies Conference,Conferência de Tecnologias Futuras,A3
FUSION,International Conference on Information Fusion,Conferência Internacional sobre Fusão de Informações,A3
FUZZ,IEEE International Conference on Fuzzy Systems,Conferência Internacional IEEE sobre Sistemas Fuzzy,A2
GAS,International Workshop on Games and Software Engineering,Workshop Internacional sobre Jogos e Engenharia de Software,B3
GECCO,Genetic and Evolutionary Computation Conference,Conferência de Computação Genética e Evolutiva,A1
GECON,"International Conference on Economics of Grids, Clouds, Systems and Services","Conferência Internacional sobre Economia de Grades, Nuvens, Sistemas e Serviços",B3
GEM,"IEEE Games, Entertainment, Media Conference","Conferência IEEE de Jogos, Entretenimento e Mídia",B3
GEOINFO,Brazilian Symposium on GeoInformatics,Simpósio Brasileiro de Geoinformática,B2
